pc,all_instructions,all_total_cycles,marg_instructions,marg_total_cycles
0x1ff92a0,606,606,84,84
0x1ff92a4,606,606,84,84
0x1ff92a8,606,1212,84,168
0x1ff92ac,606,606,84,84
0x1ff92b0,606,606,84,84
0x1ff92b4,606,606,84,84
0x1ff92b8,606,606,84,84
0x1ff92bc,606,606,84,84
0x1ff92c0,606,606,84,84
0x1ff92c4,606,606,84,84
0x1ff92c8,606,606,84,84
0x1ff92cc,606,1654,84,232
0x1ff92d0,82,82,10,10
0x1ff92d4,82,82,10,10
0x1ff92d8,82,164,10,20
0x1ff92dc,82,82,10,10
0x1ff92e0,606,606,84,84
0x1ff92e4,606,606,84,84
0x1ff92e8,606,1590,84,216
0x1ff92ec,606,3636,84,504
0x1ff92f0,606,2424,84,336
0x1ff92f4,606,1212,84,168
0x1ff92f8,606,606,84,84
0x1ff92fc,606,606,84,84
0x1ff9300,606,2424,84,336
0x1ff9304,606,1212,84,168
0x1ff9308,606,1818,84,252
0x1ff930c,606,606,84,84
0x1ff9310,606,606,84,84
0x1ff9314,606,606,84,84
0x1ff9318,606,606,84,84
0x1ff931c,606,1212,84,168
0x1ff9320,606,770,84,104
0x1ff9324,524,524,74,74
0x1ff9328,524,524,74,74
0x1ff932c,524,524,74,74
0x1ff9330,524,524,74,74
0x1ff9334,524,524,74,74
0x1ff9338,524,524,74,74
0x1ff933c,524,524,74,74
0x1ff9340,524,524,74,74
0x1ff9344,524,1048,74,148
0x1ff9348,524,524,74,74
0x1ff934c,524,3702,74,409
0x1ff9350,524,1861,74,226
0x1ff9354,524,1530,74,215
0x1ff9358,524,524,74,74
0x1ff935c,524,524,74,74
0x1ff9360,524,1048,74,148
0x1ff9364,524,664,74,74
0x1ff9368,524,534,74,74
0x1ff936c,524,524,74,74
0x1ff9370,524,1048,74,148
0x1ff9374,524,524,74,74
0x1ff9378,524,524,74,74
0x1ff937c,524,1048,74,148
0x1ff9380,524,524,74,74
0x1ff9384,524,524,74,74
0x1ff9388,524,524,74,74
0x1ff938c,524,524,74,74
0x1ff9390,524,524,74,74
0x1ff9394,524,524,74,74
0x1ff9398,524,524,74,74
0x1ff939c,524,524,74,74
0x1ff93a0,524,524,74,74
0x1ff93a4,524,524,74,74
0x1ff93a8,524,524,74,74
0x1ff93ac,524,1048,74,148
0x1ff93b0,524,524,74,74
0x1ff93b4,524,524,74,74
0x1ff93b8,606,606,84,84
0x1ff93bc,606,606,84,84
0x1ff93c0,606,606,84,84
0x1ff93c4,606,606,84,84
0x1ff93c8,606,606,84,84
0x1ff93cc,606,8240,84,1153
0x1ff93d0,606,3636,84,504
0x1ff93d4,606,1212,84,168
0x1ff93d8,606,606,84,84
0x1ff93dc,606,606,84,84
0x1ff93e0,606,2424,84,336
0x1ff93e4,606,1212,84,168
0x1ff93e8,606,606,84,84
0x1ff93ec,606,606,84,84
0x1ff93f0,606,606,84,84
0x1ff93f4,606,606,84,84
0x1ff93f8,606,1818,84,252
0x1ff93fc,606,606,84,84
0x1ff9400,606,1818,84,252
0x1ff9404,606,606,84,84
0x1ff9408,606,606,84,84
0x1ff940c,606,606,84,84
0x1ff9410,606,606,84,84
0x1ff9414,606,606,84,84
0x1ff9418,606,1818,84,252
0x1ff9500,606,654,84,92
0x1ff9504,606,2424,84,336
0x1ff9508,606,1212,84,168
0x1ff950c,606,606,84,84
0x1ff9510,606,606,84,84
0x1ff9514,606,606,84,84
0x1ff9518,606,606,84,84
0x1ff951c,606,1818,84,252
0x1ff9520,606,1818,84,252
0x1ff9524,606,606,84,84
0x1ff9528,606,1818,84,252
0x1ff9540,606,606,84,84
0x1ff9544,606,606,84,84
0x1ff9548,606,1818,84,252
0x1ff9564,82,82,10,10
0x1ff9568,82,82,10,10
0x1ff956c,82,82,10,10
0x1ff9570,82,1879,10,235
0x1ff9574,82,2359,10,301
0x1ff9578,82,328,10,40
0x1ff957c,82,123,10,15
0x1ff9580,82,82,10,10
0x1ff9584,82,82,10,10
0x1ff9588,82,246,10,30
0x1ff95b0,606,606,84,84
0x1ff95b4,606,606,84,84
0x1ff95b8,606,606,84,84
0x1ff95bc,606,2076,84,252
0x1ff95c0,606,606,84,84
0x1ff95c4,606,3030,84,420
