0x020ca0b2 in __get_handle ()
Temporary breakpoint 1 at 0x2080198: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
FPSP battle entered
Breakpoint 2 at 0x204fe28: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4645.
FPSP 236 x10=272 sc=16 fw=14 tw=17255168 pres=235 vbl=522
FPSP 237 x10=272 sc=16 fw=14 tw=17255168 pres=236 vbl=524
FPSP 238 x10=272 sc=16 fw=14 tw=17255168 pres=237 vbl=526
FPSP 239 x10=272 sc=16 fw=14 tw=17255168 pres=238 vbl=528
FPSP 240 x10=269 sc=17 fw=14 tw=17467456 pres=239 vbl=530
FPSP 241 x10=269 sc=17 fw=14 tw=17467456 pres=240 vbl=532
FPSP 242 x10=269 sc=17 fw=14 tw=17467456 pres=241 vbl=534
FPSP 243 x10=269 sc=17 fw=14 tw=17467456 pres=242 vbl=536
FPSP 244 x10=269 sc=17 fw=14 tw=17467456 pres=243 vbl=538
FPSP 245 x10=269 sc=17 fw=14 tw=17467456 pres=244 vbl=540
FPSP 246 x10=269 sc=17 fw=14 tw=17467456 pres=245 vbl=542
FPSP 247 x10=269 sc=17 fw=14 tw=17467456 pres=246 vbl=544
FPSP 248 x10=269 sc=17 fw=14 tw=17467456 pres=247 vbl=546
FPSP 249 x10=269 sc=17 fw=14 tw=17467456 pres=248 vbl=548
FPSP 250 x10=269 sc=17 fw=14 tw=17467456 pres=249 vbl=550
FPSP 251 x10=269 sc=17 fw=14 tw=17467456 pres=250 vbl=552
FPSP 252 x10=269 sc=17 fw=14 tw=17467456 pres=251 vbl=554
FPSP 253 x10=269 sc=17 fw=14 tw=17467456 pres=252 vbl=557
FPSP 254 x10=276 sc=18 fw=14 tw=17024128 pres=253 vbl=559
FPSP 255 x10=276 sc=18 fw=14 tw=17024128 pres=254 vbl=562
FPSP 256 x10=276 sc=18 fw=14 tw=17024128 pres=255 vbl=564
FPSP 257 x10=276 sc=18 fw=14 tw=17024128 pres=256 vbl=566
FPSP 258 x10=276 sc=18 fw=14 tw=17024128 pres=257 vbl=568
FPSP 259 x10=276 sc=18 fw=14 tw=17024128 pres=258 vbl=570
FPSP 260 x10=276 sc=18 fw=14 tw=17024128 pres=259 vbl=572
FPSP 261 x10=276 sc=18 fw=14 tw=17024128 pres=261 vbl=574
FPSP 262 x10=276 sc=18 fw=14 tw=17024128 pres=261 vbl=576
FPSP 263 x10=276 sc=18 fw=14 tw=17024128 pres=262 vbl=578
FPSP 264 x10=276 sc=18 fw=14 tw=17024128 pres=263 vbl=580
FPSP 265 x10=276 sc=18 fw=14 tw=17024128 pres=264 vbl=582
FPSP 266 x10=276 sc=18 fw=14 tw=17024128 pres=265 vbl=588
FPSP 267 x10=276 sc=18 fw=14 tw=17024128 pres=266 vbl=590
FPSP 268 x10=265 sc=19 fw=14 tw=17678144 pres=268 vbl=592
FPSP 269 x10=265 sc=19 fw=14 tw=17678144 pres=268 vbl=594
FPSP 270 x10=265 sc=19 fw=14 tw=17678144 pres=269 vbl=597
FPSP 271 x10=265 sc=19 fw=14 tw=17678144 pres=270 vbl=599
FPSP 272 x10=265 sc=19 fw=14 tw=17678144 pres=271 vbl=601
FPSP 273 x10=265 sc=19 fw=14 tw=17678144 pres=272 vbl=603
FPSP 274 x10=265 sc=19 fw=14 tw=17678144 pres=273 vbl=605
FPSP 275 x10=265 sc=19 fw=14 tw=17678144 pres=274 vbl=607
FPSP 276 x10=265 sc=19 fw=14 tw=17678144 pres=275 vbl=609
