pc,whole_instructions,whole_total_cycles,whole_issue,whole_icache_fill,whole_dcache_fill,whole_write_buffer,whole_bus_contention,whole_dma_hold,whole_interlock,whole_halt_wait,sitr25_instructions,sitr25_total_cycles,sitr25_issue,sitr25_icache_fill,sitr25_dcache_fill,sitr25_write_buffer,sitr25_bus_contention,sitr25_dma_hold,sitr25_interlock,sitr25_halt_wait,event288_instructions,event288_total_cycles,event288_issue,event288_icache_fill,event288_dcache_fill,event288_write_buffer,event288_bus_contention,event288_dma_hold,event288_interlock,event288_halt_wait,quiet_instructions,quiet_total_cycles,quiet_issue,quiet_icache_fill,quiet_dcache_fill,quiet_write_buffer,quiet_bus_contention,quiet_dma_hold,quiet_interlock,quiet_halt_wait,card_instructions,card_total_cycles,card_issue,card_icache_fill,card_dcache_fill,card_write_buffer,card_bus_contention,card_dma_hold,card_interlock,card_halt_wait
0x020452cc,76,4014,0,4014,0,0,0,0,0,0,3,144,0,144,0,0,0,0,0,0,9,297,0,297,0,0,0,0,0,0,42,2547,0,2547,0,0,0,0,0,0,1,18,0,18,0,0,0,0,0,0
0x0204534a,76,2257,-375,0,2520,112,0,0,0,0,3,63,-15,0,78,0,0,0,0,0,9,273,-45,0,290,28,0,0,0,0,42,1064,-210,0,1218,56,0,0,0,0,1,47,-5,0,44,8,0,0,0,0
0x02068666,293,314,314,0,0,0,0,0,0,0,9,9,9,0,0,0,0,0,0,0,90,104,104,0,0,0,0,0,0,0,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x02088ae4,4,242,-24,23,235,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,242,-24,23,235,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x0200dee0,164,1570,0,1570,0,0,0,0,0,0,21,171,0,171,0,0,0,0,0,0,127,1270,0,1270,0,0,0,0,0,0,6,45,0,45,0,0,0,0,0,0,4,93,0,93,0,0,0,0,0,0
0x0208a676,5,255,5,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,255,5,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0x020c0b48,6372,6372,0,6372,0,0,0,0,0,0,140,140,0,140,0,0,0,0,0,0,1545,1545,0,1545,0,0,0,0,0,0,2548,2548,0,2548,0,0,0,0,0,0,126,126,0,126,0,0,0,0,0,0
0x020c0b54,6372,6372,0,6372,0,0,0,0,0,0,140,140,0,140,0,0,0,0,0,0,1545,1545,0,1545,0,0,0,0,0,0,2548,2548,0,2548,0,0,0,0,0,0,126,126,0,126,0,0,0,0,0,0
0x020cdbbe,6386,6386,6386,0,0,0,0,0,0,0,152,152,152,0,0,0,0,0,0,0,1559,1559,1559,0,0,0,0,0,0,0,2548,2548,2548,0,0,0,0,0,0,0,140,140,140,0,0,0,0,0,0,0
0x020cdbd6,6386,6386,6386,0,0,0,0,0,0,0,152,152,152,0,0,0,0,0,0,0,1559,1559,1559,0,0,0,0,0,0,0,2548,2548,2548,0,0,0,0,0,0,0,140,140,140,0,0,0,0,0,0,0
