f_read (fp=0x224f86c, buff=<optimized out>, btr=<optimized out>, br=<optimized out>) at /home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c:3906
warning: 3906	/home/davem/projects/devkitpro/pacman-packages/libfat/src/libdvm-2.1.0/fatfs/source/ff.c: No such file or directory
warning: could not convert '$n' from the host encoding (CP1252) to UTF-32.
This normally should not happen, please file a bug report.
PCAD build=build-c205-camtoggle route=gNdsR2CameraFixedEnabled initial=0 perframe=1 flips=400/401
Temporary breakpoint 1 at 0x20804b4: file D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c, line 243.

Temporary breakpoint 1, scVSBattleStartBattle () at D:/Stuff/DevFolder/Smash64DS_Port/src/import/battleship_scvsbattle.c:243
243	    gNdsSCVSBattleOriginalFuncStartResult =
Breakpoint 2 at 0x2050064: file D:/Stuff/DevFolder/Smash64DS_Port/src/port/taskman_seam.c, line 4646.
PCADFLIP 1 -> 0
PCADHIST INIT n=1 2=0 3=0 4=0 5=1 max=26 min=26 viol=0 vbl=26 pres=1 tk=14047168
PCADF 208 vbl=518 pres=208 tk=289661568 rt=0 fx=0 fl=416 px=0 pl=416
PCADF 209 vbl=520 pres=209 tk=290781696 rt=0 fx=0 fl=418 px=0 pl=418
PCADF 210 vbl=522 pres=210 tk=291902080 rt=0 fx=0 fl=420 px=0 pl=420
PCADF 211 vbl=524 pres=211 tk=293022208 rt=0 fx=0 fl=422 px=0 pl=422
PCADF 212 vbl=526 pres=212 tk=294142976 rt=0 fx=0 fl=424 px=0 pl=424
PCADF 213 vbl=528 pres=213 tk=295263616 rt=0 fx=0 fl=426 px=0 pl=426
PCADF 214 vbl=530 pres=214 tk=296384000 rt=0 fx=0 fl=428 px=0 pl=428
PCADF 215 vbl=532 pres=215 tk=297504448 rt=0 fx=0 fl=430 px=0 pl=430
PCADF 216 vbl=534 pres=216 tk=298624320 rt=0 fx=0 fl=432 px=0 pl=432
PCADF 217 vbl=536 pres=217 tk=299744960 rt=0 fx=0 fl=434 px=0 pl=434
PCADF 218 vbl=538 pres=218 tk=300865152 rt=0 fx=0 fl=436 px=0 pl=436
PCADF 219 vbl=540 pres=219 tk=301985600 rt=0 fx=0 fl=438 px=0 pl=438
PCADF 220 vbl=542 pres=220 tk=303106240 rt=0 fx=0 fl=440 px=0 pl=440
PCADF 221 vbl=544 pres=221 tk=304226560 rt=0 fx=0 fl=442 px=0 pl=442
PCADF 222 vbl=546 pres=222 tk=305347136 rt=0 fx=0 fl=444 px=0 pl=444
PCADF 223 vbl=548 pres=223 tk=306467264 rt=0 fx=0 fl=446 px=0 pl=446
PCADF 224 vbl=550 pres=224 tk=307587712 rt=0 fx=0 fl=448 px=0 pl=448
PCADF 225 vbl=552 pres=225 tk=308708224 rt=0 fx=0 fl=450 px=0 pl=450
PCADF 226 vbl=554 pres=226 tk=309828608 rt=0 fx=0 fl=452 px=0 pl=452
PCADF 227 vbl=556 pres=227 tk=310946944 rt=0 fx=0 fl=454 px=0 pl=454
PCADF 228 vbl=558 pres=228 tk=312067392 rt=0 fx=0 fl=456 px=0 pl=456
