pc,whole_instructions,m80prof_instructions,m80gate_instructions
0x020275e0,24,3,6
0x02027628,24,3,6
0x0202764c,24,3,6
0x02027664,24,3,6
0x02027668,24,3,6
0x02027678,24,3,6
0x0202779c,24,3,6
0x020277ec,24,3,6
0x0202787c,24,3,6
0x02027898,24,3,6
0x020278c8,24,3,6
0x020278e4,24,3,6
0x02027914,24,3,6
0x02027930,24,3,6
0x02027cc4,24,3,6
0x02027cd4,24,3,6
0x02027d08,24,3,6
0x02027fa8,1152,144,288
0x02027ff0,1152,144,288
0x0202800c,1152,144,288
0x02028058,156,6,3
0x02028144,156,6,3
0x020281b8,1248,48,24
0x02028244,156,6,3
0x020282c0,312,12,6
0x020283cc,52,2,1
0x02028410,52,2,1
0x02028460,52,2,1
0x0202847c,312,12,6
0x02028488,312,12,6
0x02028494,312,12,6
0x020284ac,312,12,6
0x020284b8,312,12,6
0x020284d0,312,12,6
0x02028518,260,10,5
0x02028530,260,10,5
0x02028540,260,10,5
0x02028544,260,10,5
0x02028554,260,10,5
0x02028664,156,6,3
0x02028738,104,4,2
0x02028750,104,4,2
0x02028860,312,12,6
0x02028978,45,0,0
0x02028a18,144,0,0
0x02028a48,159,0,0
0x02028ae0,114,0,0
0x02028b00,114,0,0
0x02028b24,114,0,0
0x02028eb8,52,2,1
0x02028ef8,52,2,1
0x02028f48,52,2,1
0x020290d4,52,2,1
0x02029118,52,2,1
0x02029160,52,2,1
0x0202922c,52,2,1
0x02029270,52,2,1
0x020292c4,52,2,1
0x02029388,52,2,1
0x020293cc,52,2,1
0x0202941c,52,2,1
0x020296a4,1872,72,36
0x020296bc,1872,72,36
0x02029700,52,2,1
0x020297a8,312,12,6
0x020298c0,6,0,0
0x020298e4,6,0,0
0x02029ac4,52,2,1
0x02029adc,3036,160,160
0x0202b4d8,1600,80,80
0x0202b96c,1600,80,80
0x0202b9b8,1600,80,80
0x0202cef0,1600,80,80
0x0202cf0c,1600,80,80
0x0202cfb4,1600,80,80
0x0202d1a4,1600,80,80
0x0202d220,99,0,0
0x0202d47c,1600,80,80
0x0202e21c,12801,640,640
0x0202e278,12800,640,640
0x0202e2c8,4800,240,240
0x0202e37c,52800,2640,2640
0x0202e540,33600,1680,1680
0x0202e960,33600,1680,1680
0x0202e9b0,43200,2160,2160
0x0202eb14,4800,240,240
0x0202ec38,1600,80,80
0x0202f494,3192,169,179
0x0202f4b0,3192,169,179
0x0202f4f0,3192,169,179
0x0202f520,3192,169,179
0x0202f534,3192,169,179
0x0202f69c,9273,480,480
0x0202f6b4,6281,334,356
0x0202f6c4,6384,338,358
0x0202f7d4,1600,80,80
0x02030480,1600,80,80
0x020308e8,80,4,12
0x0203095c,80,4,12
0x020309c4,80,4,12
0x02030bd4,350,40,59
0x02030c3c,16684,2002,2798
0x02030d78,7899,591,759
0x02030d7a,7899,591,759
0x02030d80,7831,589,754
0x02030d82,7831,589,754
0x02030e74,4800,240,240
0x02030e92,4800,240,240
0x02030ea0,4800,240,240
