frame,ALL,FTR,STG,BG,AUD,HUD,SRC,MISC,OTHR,WAIT,WORK,SHDT,SWRM,GCRA,SCPU,SCAT,SPRM,SINT,SPHD,SPHC,WORK-H,gNdsHardwareRendererStatus,gNdsHardwareRendererPolyRamCount,gNdsParticleBatchOpens,gNdsParticleScaleEscalations,gNdsR2LightVectorWrites,gNdsParticleCameraLoads
540,1118016,306496,174976,4160,1536,1088,376128,95296,160384,140672,977024,7104,960,370624,46784,1472,2112,196736,76800,704,975936,100663296,474,236,60,1080,267
541,1117696,304960,174144,4160,1472,1024,282816,95616,250560,230400,887424,6976,896,277504,896,1536,2048,96896,84096,704,886400,100663296,468,237,60,1082,268
542,1117824,307072,174912,4352,1472,415680,363264,109248,304768,284608,1393344,7040,896,357888,1664,1536,2048,176832,77632,768,977664,100663296,460,239,60,1084,270
543,1677952,305088,174144,4288,1600,1088,304448,108864,304768,284608,1393344,7040,960,299072,23552,1600,2048,126720,75584,896,1392256,100663296,465,241,60,1086,272
544,1117568,302336,175360,4224,2240,70720,463488,121280,533120,512704,1165440,57344,960,457984,896,1344,120000,105408,85696,704,1094720,100663296,456,243,60,1088,274
545,1678144,305728,177344,4224,2752,1088,207488,124992,293888,274304,843200,10304,1024,202048,768,1408,1920,8448,66240,640,842112,100663296,452,245,60,1090,276
546,1117504,307648,175424,4224,94272,1088,189568,123712,293888,274304,843200,10304,1088,183872,1536,4736,1920,8896,66752,704,842112,100663296,447,247,60,1092,278
547,1117568,308288,176128,4224,2816,1024,340864,128384,159744,140096,977856,9920,896,335488,43520,1152,1984,141056,91136,704,976832,100663296,455,249,60,1094,280
548,1117952,307008,173952,4160,2944,1024,307072,129216,193088,172736,945408,10240,1024,301632,1344,1664,1920,105152,91008,768,944384,100663296,458,251,60,1096,282
549,1118144,304832,175680,4288,2816,1088,429056,149248,193088,172736,945408,10240,1024,423616,41728,1344,2176,146944,170752,576,944320,100663296,458,254,61,1098,285
550,1117504,306880,175744,4160,4992,1024,269120,136576,218752,198784,919168,7104,832,263744,1600,1536,2048,102528,57856,640,918144,100663296,486,257,62,1100,288
551,1117952,305920,177408,4160,4928,1024,304256,131072,192576,172992,944576,6720,896,299008,42880,1408,1984,139520,56704,640,943552,100663296,471,260,63,1102,291
552,1117568,305600,173952,4160,4032,1088,272192,140288,211328,191488,926336,6912,1024,266816,832,1344,2112,100800,59968,576,925248,100663296,471,263,65,1104,294
